epoch,phase,lr,loss,accuracy
0,train,0.001,0.4926367947287651,0.8231333494186401
0,evaluation,0.001,0.41769050118289414,0.8564000129699707
1,train,0.000999938933078422,0.36981907871359193,0.8628000020980835
1,evaluation,0.000999938933078422,0.39245935520039327,0.8665000200271606
2,train,0.000999755747381037,0.33706680597908206,0.874750018119812
2,evaluation,0.000999755747381037,0.37732052935075155,0.867900013923645
3,train,0.000999450488106175,0.3200142474443928,0.8812999725341797
3,evaluation,0.000999450488106175,0.36690031576760207,0.8704000115394592
4,train,0.0009990232305719944,0.3000240997274293,0.8884833455085754
4,evaluation,0.0009990232305719944,0.35633385992502864,0.8745999932289124
5,train,0.0009984740801978983,0.2862798298981144,0.8941166400909424
5,evaluation,0.0009984740801978983,0.3508882107613962,0.8801000118255615
6,train,0.0009978031724785245,0.27552946954012425,0.8978666663169861
6,evaluation,0.0009978031724785245,0.34165115069739427,0.8835999965667725
7,train,0.000997010672950314,0.2659099832463112,0.9014999866485596
7,evaluation,0.000997010672950314,0.3290703724833983,0.8877999782562256
8,train,0.0009960967771506664,0.2554410547971217,0.9049999713897705
8,evaluation,0.0009960967771506664,0.3357526311485828,0.8877000212669373
9,train,0.0009950617105696957,0.24784203855467757,0.9063666462898254
9,evaluation,0.0009950617105696957,0.3498976025023038,0.8845000267028809
10,train,0.0009939057285945929,0.24119997156390757,0.9096166491508484
10,evaluation,0.0009939057285945929,0.3265836079475246,0.8884999752044678
11,train,0.0009926291164466126,0.23424540566546576,0.9126999974250793
11,evaluation,0.0009926291164466126,0.33130463740870925,0.888700008392334
12,train,0.0009912321891107005,0.22552857643315025,0.914983332157135
12,evaluation,0.0009912321891107005,0.3353871786141697,0.8901000022888184
13,train,0.0009897152912577737,0.2192242296773996,0.9175166487693787
13,evaluation,0.0009897152912577737,0.33394572124639643,0.8959000110626221
14,train,0.0009880787971596797,0.21175055874626775,0.9195333123207092
14,evaluation,0.0009880787971596797,0.34136683757923825,0.8934000134468079
15,train,0.0009863231105968495,0.20141955962313263,0.9250666499137878
15,evaluation,0.0009863231105968495,0.34621983007351054,0.8901000022888184
16,train,0.000984448664758672,0.19688717958960197,0.9259999990463257
16,evaluation,0.000984448664758672,0.3618028157308132,0.8906000256538391
17,train,0.0009824559221366096,0.19051781136280438,0.9285333156585693
17,evaluation,0.0009824559221366096,0.3590690701186091,0.8892999887466431
18,train,0.0009803453744100864,0.18746897052409553,0.9287499785423279
18,evaluation,0.0009803453744100864,0.3520763610737233,0.8952000141143799
19,train,0.0009781175423251728,0.18110844956786393,0.9319333434104919
19,evaluation,0.0009781175423251728,0.35748931265707257,0.8952000141143799
20,train,0.0009757729755661004,0.17596244611846867,0.9339333176612854
20,evaluation,0.0009757729755661004,0.3611592142076432,0.8944000005722046
21,train,0.0009733122526196342,0.1733766476165003,0.9353333115577698
21,evaluation,0.0009733122526196342,0.36319964916645725,0.8956999778747559
22,train,0.000970735980632341,0.1650905916368021,0.9391833543777466
22,evaluation,0.000970735980632341,0.37493336405840855,0.8952000141143799
23,train,0.0009680447952607838,0.16082249236291152,0.9402666687965393
23,evaluation,0.0009680447952607838,0.3590367221379582,0.8974999785423279
24,train,0.0009652393605146839,0.15692033555144186,0.9411500096321106
24,evaluation,0.0009652393605146839,0.39029903313781644,0.891700029373169
25,train,0.0009623203685930864,0.1537412113186393,0.9413333535194397
25,evaluation,0.0009623203685930864,0.37718613429254366,0.8939999938011169
26,train,0.00095928853971357,0.1488829384178622,0.9433833360671997
26,evaluation,0.00095928853971357,0.3789836890712569,0.9002000093460083
27,train,0.0009561446219345448,0.1501893870897893,0.9435333609580994
27,evaluation,0.0009561446219345448,0.37551202002582673,0.8960000276565552
28,train,0.0009528893909706791,0.14193552844464652,0.9470499753952026
28,evaluation,0.0009528893909706791,0.401677606415145,0.897599995136261
29,train,0.0009495236500015041,0.13924864369001724,0.9477333426475525
29,evaluation,0.0009495236500015041,0.39039997176467617,0.8977000117301941
30,train,0.0009460482294732414,0.13716518828101248,0.9480999708175659
30,evaluation,0.0009460482294732414,0.39596120739662194,0.8970999717712402
31,train,0.0009424639868939027,0.1322854867002476,0.9507333040237427
31,evaluation,0.0009424639868939027,0.3975026602326315,0.8998000025749207
32,train,0.0009387718066217117,0.127087451843247,0.9528833627700806
32,evaluation,0.0009387718066217117,0.4053541796777067,0.8998000025749207
33,train,0.000934972599646904,0.12699373833723923,0.9524499773979187
33,evaluation,0.000934972599646904,0.3996169195993792,0.9013000130653381
34,train,0.0009310673033669515,0.12257822425062977,0.9531999826431274
34,evaluation,0.0009310673033669515,0.41153297665281385,0.8988000154495239
35,train,0.0009270568813552751,0.11887946945708444,0.9550666809082031
35,evaluation,0.0009270568813552751,0.42050404053865165,0.8973000049591064
36,train,0.0009229423231234969,0.11643654255788209,0.9564666748046875
36,evaluation,0.0009229423231234969,0.4064085274872877,0.8988999724388123
37,train,0.0009187246438772933,0.11349995384242997,0.95701664686203
37,evaluation,0.0009187246438772933,0.41731266897831915,0.8996000289916992
38,train,0.0009144048842659075,0.11302324614005048,0.9564333558082581
38,evaluation,0.0009144048842659075,0.42868950419847063,0.8988000154495239
39,train,0.0009099841101253861,0.10816470115010672,0.958899974822998
39,evaluation,0.0009099841101253861,0.4430923388822924,0.9010999798774719
40,train,0.0009054634122155986,0.10617607561891267,0.9601333141326904
40,evaluation,0.0009054634122155986,0.4317517986497547,0.8988000154495239
41,train,0.0009008439059511095,0.10070151241937045,0.9618833065032959
41,evaluation,0.0009008439059511095,0.4433039524887182,0.9021000266075134
42,train,0.0008961267311259662,0.10462390900309533,0.9602500200271606
42,evaluation,0.0008961267311259662,0.43866834786419956,0.9006999731063843
43,train,0.0008913130516324728,0.10016330500353755,0.961983323097229
43,evaluation,0.0008913130516324728,0.45185832654515024,0.9021000266075134
44,train,0.0008864040551740152,0.0951120071510262,0.9643499851226807
44,evaluation,0.0008864040551740152,0.4703681806067028,0.8981000185012817
45,train,0.000881400952972015,0.09315921700617144,0.9644166827201843
45,evaluation,0.000881400952972015,0.4781962401849583,0.8999999761581421
46,train,0.0008763049794670771,0.09274884665619208,0.964733362197876
46,evaluation,0.0008763049794670771,0.4710848228151238,0.9013000130653381
47,train,0.0008711173920144113,0.08835174770219557,0.966783344745636
47,evaluation,0.0008711173920144113,0.47384179715668384,0.8978000283241272
48,train,0.0008658394705735983,0.09143207238506534,0.965583324432373
48,evaluation,0.0008658394705735983,0.45655392171502635,0.8996000289916992
49,train,0.0008604725173927781,0.08574966640710067,0.9675499796867371
49,evaluation,0.0008604725173927781,0.4572373493220893,0.902999997138977
50,train,0.0008550178566873405,0.08532941276267139,0.9682833552360535
