epoch,phase,lr,loss,accuracy
0,train,0.001,0.4929817527977388,0.8196333050727844
0,evaluation,0.001,0.403649992392033,0.8561000227928162
1,train,0.000999938933078422,0.3640753243332987,0.8652666807174683
1,evaluation,0.000999938933078422,0.3786127237202246,0.8654999732971191
2,train,0.000999755747381037,0.3286284831350546,0.8788999915122986
2,evaluation,0.000999755747381037,0.3660318400663666,0.8705999851226807
3,train,0.000999450488106175,0.30794358043782494,0.8862166404724121
3,evaluation,0.000999450488106175,0.35228278799147544,0.8743000030517578
4,train,0.0009990232305719944,0.28888767500167717,0.8924000263214111
4,evaluation,0.0009990232305719944,0.34195468169224413,0.8791999816894531
5,train,0.0009984740801978983,0.27453160130265936,0.8955833315849304
5,evaluation,0.0009984740801978983,0.3354882943102076,0.8812999725341797
6,train,0.0009978031724785245,0.2605175456798661,0.9019833207130432
6,evaluation,0.0009978031724785245,0.34045673718180836,0.8835999965667725
7,train,0.000997010672950314,0.24885468032441413,0.9060500264167786
7,evaluation,0.000997010672950314,0.33088574473616444,0.8902000188827515
8,train,0.0009960967771506664,0.23657872759774803,0.910099983215332
8,evaluation,0.0009960967771506664,0.32824720197086094,0.8906999826431274
9,train,0.0009950617105696957,0.22870497874168952,0.9118000268936157
9,evaluation,0.0009950617105696957,0.33086582376987117,0.8910999894142151
10,train,0.0009939057285945929,0.21958239268519478,0.9165666699409485
10,evaluation,0.0009939057285945929,0.34454940646132337,0.8826000094413757
11,train,0.0009926291164466126,0.21296408542120127,0.9188166856765747
11,evaluation,0.0009926291164466126,0.34712620569935326,0.8903999924659729
12,train,0.0009912321891107005,0.20147389707280627,0.9227666854858398
12,evaluation,0.0009912321891107005,0.3308839779111403,0.895799994468689
13,train,0.0009897152912577737,0.19626912017112602,0.9244499802589417
13,evaluation,0.0009897152912577737,0.352421066051797,0.8953999876976013
14,train,0.0009880787971596797,0.18766157462525723,0.9285833239555359
14,evaluation,0.0009880787971596797,0.34984049776309656,0.8992000222206116
15,train,0.0009863231105968495,0.181678111889342,0.930316686630249
15,evaluation,0.0009863231105968495,0.36456674035591413,0.8959000110626221
16,train,0.000984448664758672,0.17668173803703618,0.9319166541099548
16,evaluation,0.000984448664758672,0.37554948946720434,0.8970000147819519
17,train,0.0009824559221366096,0.17006939020492376,0.9343833327293396
17,evaluation,0.0009824559221366096,0.36079695688772806,0.8978000283241272
18,train,0.0009803453744100864,0.16351229617241095,0.9379000067710876
18,evaluation,0.0009803453744100864,0.37784285277505464,0.8986999988555908
19,train,0.0009781175423251728,0.1599587563322043,0.9386333227157593
19,evaluation,0.0009781175423251728,0.3847818179409715,0.8985000252723694
20,train,0.0009757729755661004,0.15465944532805415,0.9400333166122437
20,evaluation,0.0009757729755661004,0.3844471562512313,0.9004999995231628
21,train,0.0009733122526196342,0.15031718720854725,0.9429333209991455
21,evaluation,0.0009733122526196342,0.3909465921689061,0.8964999914169312
22,train,0.000970735980632341,0.14464679457294916,0.9441166520118713
22,evaluation,0.000970735980632341,0.3799510738234731,0.8996000289916992
23,train,0.0009680447952607838,0.14041798567371583,0.9458833336830139
23,evaluation,0.0009680447952607838,0.4040485879618533,0.8988999724388123
24,train,0.0009652393605146839,0.1396591642152653,0.946483314037323
24,evaluation,0.0009652393605146839,0.42693209433574464,0.8985999822616577
25,train,0.0009623203685930864,0.13344711384602956,0.9482333064079285
25,evaluation,0.0009623203685930864,0.41364758731679446,0.899399995803833
26,train,0.00095928853971357,0.1299114553833694,0.9507833123207092
26,evaluation,0.00095928853971357,0.417122043163775,0.902899980545044
27,train,0.0009561446219345448,0.12542370675818754,0.9514166712760925
27,evaluation,0.0009561446219345448,0.43625645297048965,0.8970000147819519
28,train,0.0009528893909706791,0.12089212177627122,0.9529500007629395
28,evaluation,0.0009528893909706791,0.44271718814403194,0.9004999995231628
29,train,0.0009495236500015041,0.11985253774598717,0.9535833597183228
29,evaluation,0.0009495236500015041,0.4417505854670006,0.8996000289916992
30,train,0.0009460482294732414,0.11555080586023676,0.9550166726112366
30,evaluation,0.0009460482294732414,0.4753198942428903,0.8982999920845032
31,train,0.0009424639868939027,0.11526286146089212,0.9556333422660828
31,evaluation,0.0009424639868939027,0.4222920776545247,0.902999997138977
32,train,0.0009387718066217117,0.11361026061750425,0.9567833542823792
32,evaluation,0.0009387718066217117,0.4474623394729216,0.9032999873161316
33,train,0.000934972599646904,0.10882963363263908,0.9581000208854675
33,evaluation,0.000934972599646904,0.45759509711325924,0.9047999978065491
34,train,0.0009310673033669515,0.10623343408044213,0.9592000246047974
34,evaluation,0.0009310673033669515,0.4913798532908476,0.9000999927520752
35,train,0.0009270568813552751,0.10488356209830689,0.9592499732971191
35,evaluation,0.0009270568813552751,0.49187475178815143,0.9013000130653381
36,train,0.0009229423231234969,0.10164132998235571,0.960266649723053
36,evaluation,0.0009229423231234969,0.4579086825958913,0.9039000272750854
37,train,0.0009187246438772933,0.09716739324427871,0.9624500274658203
37,evaluation,0.0009187246438772933,0.48082438673635447,0.9063000082969666
38,train,0.0009144048842659075,0.09718568756509183,0.9611999988555908
38,evaluation,0.0009144048842659075,0.4845130345960961,0.902400016784668
39,train,0.0009099841101253861,0.09336725384124052,0.9641166925430298
39,evaluation,0.0009099841101253861,0.4844930430261206,0.9049000144004822
40,train,0.0009054634122155986,0.09124082761373856,0.9640166759490967
40,evaluation,0.0009054634122155986,0.4727903845546107,0.9018999934196472
41,train,0.0009008439059511095,0.09110168318774527,0.963866651058197
41,evaluation,0.0009008439059511095,0.5046850336815785,0.906000018119812
42,train,0.0008961267311259662,0.08792388430441112,0.9656833410263062
42,evaluation,0.0008961267311259662,0.49271808291160607,0.902899980545044
43,train,0.0008913130516324728,0.08603899697981664,0.9668833613395691
43,evaluation,0.0008913130516324728,0.5180913870564744,0.9043999910354614
44,train,0.0008864040551740152,0.08677099173717788,0.9669166803359985
