epoch,phase,lr,loss,accuracy
0,train,0.001,0.4945624948882345,0.8226500153541565
0,evaluation,0.001,0.3988091553313823,0.8597000241279602
1,train,0.000999938933078422,0.3739422344640374,0.861050009727478
1,evaluation,0.000999938933078422,0.4255946736924256,0.8569999933242798
2,train,0.000999755747381037,0.34117487708388616,0.8742833137512207
2,evaluation,0.000999755747381037,0.3826131433059898,0.8629999756813049
3,train,0.000999450488106175,0.31973503717481455,0.8818833231925964
3,evaluation,0.000999450488106175,0.35855539199672165,0.8755999803543091
4,train,0.0009990232305719944,0.3082994428524839,0.8862500190734863
4,evaluation,0.0009990232305719944,0.34226581567450415,0.8777999877929688
5,train,0.0009984740801978983,0.2923463177579298,0.8911499977111816
5,evaluation,0.0009984740801978983,0.3354607473445844,0.8828999996185303
6,train,0.0009978031724785245,0.2810815926998663,0.894016683101654
6,evaluation,0.0009978031724785245,0.33256443165525607,0.8873999714851379
7,train,0.000997010672950314,0.2677187537714871,0.8999000191688538
7,evaluation,0.000997010672950314,0.34918003406705733,0.8863000273704529
8,train,0.0009960967771506664,0.2617345879803588,0.9013833403587341
8,evaluation,0.0009960967771506664,0.34005333011663413,0.8892999887466431
9,train,0.0009950617105696957,0.25058621438200285,0.9056333303451538
9,evaluation,0.0009950617105696957,0.34692042594469047,0.8828999996185303
10,train,0.0009939057285945929,0.24268992489843227,0.9084166884422302
10,evaluation,0.0009939057285945929,0.33548309078699423,0.8898000121116638
11,train,0.0009926291164466126,0.24062347815616297,0.9107000231742859
11,evaluation,0.0009926291164466126,0.32598006541404545,0.8937000036239624
12,train,0.0009912321891107005,0.22936445123541838,0.9129499793052673
12,evaluation,0.0009912321891107005,0.32152823934072183,0.8924000263214111
13,train,0.0009897152912577737,0.22184918758902214,0.9163333177566528
13,evaluation,0.0009897152912577737,0.3321411113573026,0.8914999961853027
14,train,0.0009880787971596797,0.21394831787294416,0.9190000295639038
14,evaluation,0.0009880787971596797,0.33942169516901427,0.8952999711036682
15,train,0.0009863231105968495,0.2093408563847481,0.9205333590507507
15,evaluation,0.0009863231105968495,0.34683961397673513,0.8925999999046326
16,train,0.000984448664758672,0.201364752405615,0.92330002784729
16,evaluation,0.000984448664758672,0.3297226522353631,0.8984000086784363
17,train,0.0009824559221366096,0.1975175090976107,0.9259999990463257
17,evaluation,0.0009824559221366096,0.337734282582621,0.8952000141143799
18,train,0.0009803453744100864,0.18850389787001903,0.9287166595458984
18,evaluation,0.0009803453744100864,0.3519339861371849,0.8974000215530396
19,train,0.0009781175423251728,0.1879297953202272,0.9284999966621399
19,evaluation,0.0009781175423251728,0.3497201334449309,0.897599995136261
20,train,0.0009757729755661004,0.18014405082379067,0.932449996471405
20,evaluation,0.0009757729755661004,0.36379713140711,0.8970000147819519
21,train,0.0009733122526196342,0.17502986260060308,0.9335833191871643
21,evaluation,0.0009733122526196342,0.3590986777710009,0.8970000147819519
22,train,0.000970735980632341,0.17120753816450074,0.935366690158844
22,evaluation,0.000970735980632341,0.366851434347373,0.8956999778747559
23,train,0.0009680447952607838,0.16559799681149567,0.9376999735832214
23,evaluation,0.0009680447952607838,0.3675247597260566,0.897599995136261
24,train,0.0009652393605146839,0.1592111047555897,0.9388166666030884
24,evaluation,0.0009652393605146839,0.38111807500259787,0.8970000147819519
25,train,0.0009623203685930864,0.1568577660521719,0.9410666823387146
25,evaluation,0.0009623203685930864,0.37529987040199814,0.9006999731063843
26,train,0.00095928853971357,0.15122837588381666,0.9426000118255615
26,evaluation,0.00095928853971357,0.40514332621912413,0.8964999914169312
27,train,0.0009561446219345448,0.14801982299351235,0.944516658782959
27,evaluation,0.0009561446219345448,0.3954182164389876,0.8956999778747559
28,train,0.0009528893909706791,0.14305487224288077,0.9460833072662354
28,evaluation,0.0009528893909706791,0.40953894242455685,0.895799994468689
29,train,0.0009495236500015041,0.1400708345604985,0.9469000101089478
29,evaluation,0.0009495236500015041,0.40524237423757964,0.8989999890327454
30,train,0.0009460482294732414,0.13608717321872965,0.9493833184242249
30,evaluation,0.0009460482294732414,0.41331869571269314,0.8973000049591064
31,train,0.0009424639868939027,0.13392241631966156,0.9492833614349365
31,evaluation,0.0009424639868939027,0.3928237372561346,0.9007999897003174
32,train,0.0009387718066217117,0.13225143687970348,0.9505833387374878
32,evaluation,0.0009387718066217117,0.4197088549785976,0.8974000215530396
33,train,0.000934972599646904,0.12869609553994402,0.950166642665863
33,evaluation,0.000934972599646904,0.4118274774732469,0.9002000093460083
34,train,0.0009310673033669515,0.12111822462507657,0.9531333446502686
34,evaluation,0.0009310673033669515,0.42519971539702595,0.8988999724388123
35,train,0.0009270568813552751,0.12447398980416215,0.9539333581924438
35,evaluation,0.0009270568813552751,0.42184700656540786,0.9014000296592712
36,train,0.0009229423231234969,0.12137121043956356,0.9545333385467529
36,evaluation,0.0009229423231234969,0.4107437388429159,0.8996999859809875
37,train,0.0009187246438772933,0.11719923186848667,0.9560499787330627
37,evaluation,0.0009187246438772933,0.4308822347393519,0.8995000123977661
38,train,0.0009144048842659075,0.11539021299989112,0.9567999839782715
38,evaluation,0.0009144048842659075,0.42232491887068446,0.8999000191688538
39,train,0.0009099841101253861,0.11150318794031895,0.9585666656494141
39,evaluation,0.0009099841101253861,0.43628017321417606,0.902999997138977
40,train,0.0009054634122155986,0.10956086439173868,0.9591000080108643
40,evaluation,0.0009054634122155986,0.4292659953802447,0.9028000235557556
41,train,0.0009008439059511095,0.10488175468118206,0.9602500200271606
41,evaluation,0.0009008439059511095,0.4524254708350459,0.8996999859809875
42,train,0.0008961267311259662,0.10058202518265384,0.9612166881561279
42,evaluation,0.0008961267311259662,0.45798515292662606,0.9021000266075134
43,train,0.0008913130516324728,0.1005350219717285,0.9619666934013367
43,evaluation,0.0008913130516324728,0.47394514310209057,0.8992999792098999
44,train,0.0008864040551740152,0.1001504531729895,0.9624333381652832
44,evaluation,0.0008864040551740152,0.45541186498690256,0.9013000130653381
45,train,0.000881400952972015,0.09604879737154508,0.9628000259399414
45,evaluation,0.000881400952972015,0.48624187104309663,0.9007999897003174
46,train,0.0008763049794670771,0.09521200045196614,0.9640499949455261
46,evaluation,0.0008763049794670771,0.4640712551301039,0.9009000062942505
47,train,0.0008711173920144113,0.09091317257297828,0.9651666879653931
47,evaluation,0.0008711173920144113,0.4953260793338848,0.9014999866485596
48,train,0.0008658394705735983,0.08904387010757857,0.9658833146095276
48,evaluation,0.0008658394705735983,0.4942420634287822,0.8992999792098999
49,train,0.0008604725173927781,0.0894659747347744,0.9661333560943604
49,evaluation,0.0008604725173927781,0.4792384520361695,0.902899980545044
50,train,0.0008550178566873405,0.0854160196022756,0.9675666689872742
50,evaluation,0.0008550178566873405,0.4912453484308871,0.9014999866485596
51,train,0.0008494768343131951,0.0839698556572326,0.9676166772842407
51,evaluation,0.0008494768343131951,0.4894337850280955,0.9018999934196472
52,train,0.0008438508174347005,0.08346147390443888,0.9689666628837585
52,evaluation,0.0008438508174347005,0.5055754114932651,0.902899980545044
53,train,0.0008381411941873374,0.07915472474370176,0.97038334608078
53,evaluation,0.0008381411941873374,0.4754556564590599,0.9010000228881836
54,train,0.0008323493733352073,0.07903184446651162,0.9705833196640015
54,evaluation,0.0008323493733352073,0.5133125715995137,0.9042999744415283
55,train,0.0008264767839234405,0.07930038560992048,0.9696999788284302
55,evaluation,0.0008264767839234405,0.5118798556961591,0.9034000039100647
56,train,0.000820524874925601,0.07452205530028226,0.9717666506767273
56,evaluation,0.000820524874925601,0.49608583597442774,0.9006999731063843
57,train,0.0008144951148861737,0.07281684606218897,0.972683310508728
57,evaluation,0.0008144951148861737,0.5342021795767772,0.9032999873161316
58,train,0.0008083889915582231,0.07438525945933135,0.9713333249092102
58,evaluation,0.0008083889915582231,0.5076527791687205,0.9018999934196472
59,train,0.0008022080115363123,0.07239809499255248,0.9728333353996277
59,evaluation,0.0008022080115363123,0.5099798499877695,0.9035999774932861
60,train,0.0007959536998847739,0.07278122895284057,0.9722999930381775
60,evaluation,0.0007959536998847739,0.5093004413043396,0.9024999737739563
61,train,0.0007896275997614226,0.0690541993072038,0.973966658115387
61,evaluation,0.0007896275997614226,0.5217331927033919,0.901199996471405
62,train,0.0007832312720368044,0.06731171416305402,0.9749333262443542
62,evaluation,0.0007832312720368044,0.5190657652631591,0.8988999724388123
63,train,0.0007767662949090749,0.06462042810899743,0.9751499891281128
63,evaluation,0.0007767662949090749,0.5376888400155909,0.9017999768257141
64,train,0.000770234263514603,0.06351926855679386,0.9762666821479797
64,evaluation,0.000770234263514603,0.5453044959827315,0.9024999737739563
65,train,0.0007636367895343944,0.06266972410089489,0.9764000177383423
65,evaluation,0.0007636367895343944,0.5531825225187254,0.9016000032424927
66,train,0.0007569755007964335,0.05984670489923214,0.9779666662216187
66,evaluation,0.0007569755007964335,0.5725913347699975,0.9006999731063843
67,train,0.0007502520408740415,0.06070982251784949,0.9779000282287598
67,evaluation,0.0007502520408740415,0.5435584378016146,0.904699981212616
68,train,0.0007434680686803488,0.05879226339452747,0.9774666428565979
68,evaluation,0.0007434680686803488,0.562965849060801,0.9059000015258789
69,train,0.0007366252580589837,0.06016325306044077,0.977649986743927
