epoch,phase,lr,loss,accuracy
0,train,0.001,0.49122027223552467,0.8194166421890259
0,evaluation,0.001,0.4203314588794225,0.8483999967575073
1,train,0.000999938933078422,0.36778662078924523,0.8632000088691711
1,evaluation,0.000999938933078422,0.365739175224606,0.8683000206947327
2,train,0.000999755747381037,0.328624973196719,0.8774666786193848
2,evaluation,0.000999755747381037,0.3445101175693017,0.8754000067710876
3,train,0.000999450488106175,0.30529390370794957,0.8857166767120361
3,evaluation,0.000999450488106175,0.35662633689898476,0.8763999938964844
4,train,0.0009990232305719944,0.2911766636759233,0.8902833461761475
4,evaluation,0.0009990232305719944,0.3506645779066448,0.8801000118255615
5,train,0.0009984740801978983,0.27031255623043726,0.8987833261489868
5,evaluation,0.0009984740801978983,0.3418840244412422,0.8841000199317932
6,train,0.0009978031724785245,0.25938200569356173,0.9024999737739563
6,evaluation,0.0009978031724785245,0.3333638279309756,0.8855000138282776
7,train,0.000997010672950314,0.24660064419830785,0.9068499803543091
7,evaluation,0.000997010672950314,0.3392184558737127,0.8870999813079834
8,train,0.0009960967771506664,0.24018778202376131,0.9092000126838684
8,evaluation,0.0009960967771506664,0.3363556800575196,0.8888999819755554
9,train,0.0009950617105696957,0.22699871473411506,0.9133666753768921
9,evaluation,0.0009950617105696957,0.3252889255556879,0.8948000073432922
10,train,0.0009939057285945929,0.21754376830132022,0.9182666540145874
10,evaluation,0.0009939057285945929,0.35335292035265814,0.8898000121116638
11,train,0.0009926291164466126,0.20860842405669472,0.9204000234603882
11,evaluation,0.0009926291164466126,0.3408267235831369,0.8931000232696533
12,train,0.0009912321891107005,0.20307716717725116,0.922249972820282
12,evaluation,0.0009912321891107005,0.3627946900227402,0.8909000158309937
13,train,0.0009897152912577737,0.1960263638925959,0.9259166717529297
13,evaluation,0.0009897152912577737,0.3316872451878801,0.8963000178337097
14,train,0.0009880787971596797,0.19091397047297023,0.9265666604042053
14,evaluation,0.0009880787971596797,0.34902083006086226,0.8988999724388123
15,train,0.0009863231105968495,0.1817295010060644,0.9306166768074036
15,evaluation,0.0009863231105968495,0.34826574616039857,0.8973000049591064
16,train,0.000984448664758672,0.17772466879187107,0.9325666427612305
16,evaluation,0.000984448664758672,0.3634307969220077,0.8910999894142151
17,train,0.0009824559221366096,0.16902710832575998,0.9358999729156494
17,evaluation,0.0009824559221366096,0.36725047928623006,0.8977000117301941
18,train,0.0009803453744100864,0.16425448698180317,0.9376000165939331
18,evaluation,0.0009803453744100864,0.37805775128587893,0.8985000252723694
19,train,0.0009781175423251728,0.1584314469144797,0.939300000667572
19,evaluation,0.0009781175423251728,0.3696907928472833,0.9006999731063843
20,train,0.0009757729755661004,0.1534578175162837,0.9410833120346069
20,evaluation,0.0009757729755661004,0.38689118152177787,0.9004999995231628
21,train,0.0009733122526196342,0.1503924481920215,0.9429166913032532
21,evaluation,0.0009733122526196342,0.39881677496470985,0.8999999761581421
22,train,0.000970735980632341,0.14324312433123843,0.9442333579063416
22,evaluation,0.000970735980632341,0.3907595320215708,0.9021000266075134
23,train,0.0009680447952607838,0.1422403233248923,0.9456999897956848
23,evaluation,0.0009680447952607838,0.39442552927928637,0.8981000185012817
24,train,0.0009652393605146839,0.13607244467589139,0.9466333389282227
24,evaluation,0.0009652393605146839,0.41539497975307177,0.8966000080108643
25,train,0.0009623203685930864,0.13354973305167675,0.9485333561897278
25,evaluation,0.0009623203685930864,0.41671790408937237,0.9006999731063843
26,train,0.00095928853971357,0.12825575099189654,0.9498500227928162
26,evaluation,0.00095928853971357,0.4211168605126912,0.8999999761581421
27,train,0.0009561446219345448,0.12571927385607254,0.9509333372116089
27,evaluation,0.0009561446219345448,0.4296434617400924,0.9064000248908997
28,train,0.0009528893909706791,0.12296763583938324,0.953000009059906
28,evaluation,0.0009528893909706791,0.4195782699964092,0.9057000279426575
29,train,0.0009495236500015041,0.12128874545952659,0.9535166621208191
29,evaluation,0.0009495236500015041,0.4379698485136032,0.9010999798774719
30,train,0.0009460482294732414,0.11670876662137666,0.9551166892051697
