epoch,phase,lr,loss,accuracy
0,train,0.001,2.0792892360321398,0.21502000093460083
0,evaluation,0.001,1.776688489732863,0.32580000162124634
1,train,0.0009999728588359286,1.899609623052885,0.286980003118515
1,evaluation,0.0009999728588359286,1.6820244698584834,0.3808000087738037
2,train,0.0009998914383200486,1.8257298856744986,0.3239800035953522
2,evaluation,0.0009998914383200486,1.5833607429190526,0.4027000069618225
3,train,0.0009997557473810372,1.7581019438136265,0.3558399975299835
3,evaluation,0.0009997557473810372,1.6059651420086245,0.4244000017642975
4,train,0.000999565800898935,1.7237374447190854,0.36678001284599304
4,evaluation,0.000999565800898935,1.4551342227790929,0.4634000062942505
5,train,0.0009993216197035143,1.6976876252752435,0.38071998953819275
5,evaluation,0.0009993216197035143,1.4347823013233234,0.47609999775886536
6,train,0.0009990232305719946,1.6661179651079885,0.3948200047016144
6,evaluation,0.0009990232305719946,1.3608030533488793,0.504800021648407
7,train,0.0009986706662261067,1.643997882638136,0.4027400016784668
7,evaluation,0.0009986706662261067,1.3617253665682636,0.5105000138282776
8,train,0.0009982639653285047,1.6297107139206908,0.4068799912929535
8,evaluation,0.0009982639653285047,1.3484950156151494,0.5138000249862671
9,train,0.0009978031724785245,1.6095996896934022,0.41822001338005066
9,evaluation,0.0009978031724785245,1.3319750420654877,0.5163999795913696
10,train,0.0009972883382072953,1.5809856955047763,0.4256199896335602
10,evaluation,0.0009972883382072953,1.2822543593901623,0.5314000248908997
11,train,0.0009967195189721962,1.574384455790605,0.427619993686676
11,evaluation,0.0009967195189721962,1.262137212330782,0.5418999791145325
12,train,0.0009960967771506667,1.564164595530771,0.4330599904060364
12,evaluation,0.0009960967771506667,1.2394727242143848,0.557200014591217
13,train,0.0009954201810333646,1.5459706700976243,0.4414600133895874
13,evaluation,0.0009954201810333646,1.2560846428327923,0.5472999811172485
14,train,0.0009946898048166792,1.5365798583116068,0.4466400146484375
14,evaluation,0.0009946898048166792,1.2300324666349194,0.5631999969482422
15,train,0.000993905728594593,1.518365483454731,0.4505999982357025
15,evaluation,0.000993905728594593,1.2052037067051176,0.5697000026702881
16,train,0.0009930680383498998,1.5036724689976333,0.45785999298095703
16,evaluation,0.0009930680383498998,1.1705873178530344,0.5758000016212463
17,train,0.0009921768259447744,1.4972781077065431,0.4584999978542328
17,evaluation,0.0009921768259447744,1.2318081086194967,0.5547000169754028
18,train,0.0009912321891107007,1.479295879678653,0.4666000008583069
18,evaluation,0.0009912321891107007,1.170712796193135,0.580299973487854
19,train,0.0009902342314377522,1.4714854617252984,0.4710400104522705
19,evaluation,0.0009902342314377522,1.1572943963582003,0.5809999704360962
20,train,0.0009891830623632338,1.4634138964631063,0.47519999742507935
20,evaluation,0.0009891830623632338,1.165999451015569,0.5788999795913696
21,train,0.00098807879715968,1.4514719235622668,0.4800800085067749
21,evaluation,0.00098807879715968,1.1473248721678047,0.5848000049591064
22,train,0.0009869215569222143,1.4415761549454515,0.4821600019931793
22,evaluation,0.0009869215569222143,1.1293156418619277,0.597599983215332
23,train,0.0009857114685552697,1.4315559028664513,0.484499990940094
23,evaluation,0.0009857114685552697,1.0959853348852713,0.605400025844574
24,train,0.0009844486647586721,1.4279510291945903,0.4869000017642975
24,evaluation,0.0009844486647586721,1.1701539128641538,0.59170001745224
25,train,0.0009831332840130884,1.4148772961038458,0.49154001474380493
25,evaluation,0.0009831332840130884,1.064882378034954,0.6155999898910522
26,train,0.0009817654705648405,1.4110059161930133,0.49459999799728394
26,evaluation,0.0009817654705648405,1.1399287521084653,0.5889999866485596
27,train,0.0009803453744100864,1.399664145296492,0.4987800121307373
27,evaluation,0.0009803453744100864,1.0860524849046636,0.6093000173568726
28,train,0.0009788731512783728,1.3891961531870811,0.5051199793815613
28,evaluation,0.0009788731512783728,1.143462533437753,0.6044999957084656
29,train,0.0009773489626155566,1.3807804944265225,0.5083199739456177
29,evaluation,0.0009773489626155566,1.049416885345797,0.6281999945640564
30,train,0.0009757729755661006,1.3721889406823746,0.5069400072097778
30,evaluation,0.0009757729755661006,1.0427311462692068,0.6287999749183655
31,train,0.0009741453629547445,1.3639144266352934,0.5113400220870972
31,evaluation,0.0009741453629547445,1.0412210497675063,0.6266000270843506
32,train,0.0009724663032675527,1.3622754793947616,0.5144400000572205
32,evaluation,0.0009724663032675527,1.0608696273610563,0.6208000183105469
33,train,0.0009707359806323412,1.3523271733232776,0.5179399847984314
33,evaluation,0.0009707359806323412,1.0258852069890951,0.6313999891281128
34,train,0.0009689545847984858,1.3461493506760853,0.5196599960327148
34,evaluation,0.0009689545847984858,1.0727182747442512,0.6172000169754028
35,train,0.0009671223111161144,1.3405331665902491,0.5225200057029724
35,evaluation,0.0009671223111161144,1.0426291551771043,0.635200023651123
36,train,0.000965239360514684,1.3343937479321608,0.5218600034713745
36,evaluation,0.000965239360514684,1.0008089180234112,0.6438999772071838
37,train,0.000963305939480947,1.3302798460206717,0.5266799926757812
37,evaluation,0.000963305939480947,1.0695601671556882,0.6202999949455261
38,train,0.0009613222600363074,1.3277679422627324,0.5283799767494202
38,evaluation,0.0009613222600363074,1.0380743319475199,0.6352999806404114
39,train,0.0009592885397135703,1.3207733676866498,0.5280399918556213
39,evaluation,0.0009592885397135703,1.0547709812091877,0.6355000138282776
40,train,0.0009572050015330871,1.3105198388819195,0.5353800058364868
40,evaluation,0.0009572050015330871,1.0395808476435988,0.6399999856948853
41,train,0.0009550718739782986,1.3146902542284993,0.5329399704933167
41,evaluation,0.0009550718739782986,0.9809795195543314,0.6506999731063843
42,train,0.0009528893909706794,1.3026027819689583,0.537339985370636
42,evaluation,0.0009528893909706794,1.0332937195331235,0.64410001039505
43,train,0.0009506577918440856,1.2975645452509146,0.5394999980926514
43,evaluation,0.0009506577918440856,1.010765114917031,0.6448000073432922
44,train,0.000948377321318509,1.2930189352816024,0.5398200154304504
44,evaluation,0.000948377321318509,1.0021270498444763,0.645799994468689
45,train,0.0009460482294732416,1.2893511480687525,0.5414800047874451
45,evaluation,0.0009460482294732416,1.0306840139099314,0.64410001039505
46,train,0.0009436707717194508,1.2874285324150339,0.5414999723434448
46,evaluation,0.0009436707717194508,0.99751640196088,0.6455000042915344
47,train,0.0009412452087721706,1.280732955774078,0.546779990196228
47,evaluation,0.0009412452087721706,0.9983875238442723,0.6513000130653381
48,train,0.000938771806621712,1.2739013869439244,0.5472000241279602
48,evaluation,0.000938771806621712,0.995167370838455,0.65420001745224
49,train,0.0009362508365044934,1.2773059350450326,0.5460799932479858
49,evaluation,0.0009362508365044934,1.0318021283874028,0.6420000195503235
50,train,0.0009336825748732968,1.2670117679154476,0.5501199960708618
50,evaluation,0.0009336825748732968,0.9666583704043038,0.6571000218391418
51,train,0.0009310673033669517,1.2652873809990066,0.5510799884796143
51,evaluation,0.0009310673033669517,0.9780363138717941,0.6581000089645386
52,train,0.0009284053087794505,1.2614731767293437,0.5523599982261658
52,evaluation,0.0009284053087794505,0.9236739308019227,0.6798999905586243
53,train,0.0009256968830284974,1.2551746302858338,0.5559399724006653
53,evaluation,0.0009256968830284974,0.9719322037093246,0.6647999882698059
54,train,0.0009229423231234972,1.2500187721093903,0.5555199980735779
54,evaluation,0.0009229423231234972,0.9482325798348535,0.6617000102996826
55,train,0.0009201419311329846,1.253228940927159,0.5557799935340881
55,evaluation,0.0009201419311329846,1.0014409256886831,0.6523000001907349
56,train,0.0009172960141514989,1.2463267538553613,0.5585799813270569
56,evaluation,0.0009172960141514989,0.9685212864151483,0.6549999713897705
57,train,0.0009144048842659077,1.2479289521646622,0.5597800016403198
57,evaluation,0.0009144048842659077,0.9694673856602439,0.666700005531311
58,train,0.0009114688585211832,1.2438543164516653,0.5605199933052063
58,evaluation,0.0009114688585211832,0.9405359633361237,0.675000011920929
59,train,0.0009084882588856339,1.2374654371110374,0.5625
59,evaluation,0.0009084882588856339,0.9481747233414952,0.6690000295639038
60,train,0.0009054634122155986,1.2322936413233236,0.5652199983596802
60,evaluation,0.0009054634122155986,0.9507854603513887,0.6723999977111816
61,train,0.0009023946502196013,1.2410782843904422,0.5609599947929382
61,evaluation,0.0009023946502196013,0.9522855168656458,0.6704999804496765
62,train,0.0008992823094219767,1.2305583249577476,0.5652599930763245
62,evaluation,0.0008992823094219767,0.9136971952039984,0.6794000267982483
63,train,0.0008961267311259662,1.2307472770171397,0.5669999718666077
63,evaluation,0.0008961267311259662,0.9143578960925718,0.6787999868392944
64,train,0.0008929282613762903,1.2192119786806423,0.5690799951553345
64,evaluation,0.0008929282613762903,1.0108286413965346,0.6565999984741211
65,train,0.0008896872509212002,1.2302288056334572,0.5645400285720825
65,evaluation,0.0008896872509212002,0.920874830288223,0.6870999932289124
66,train,0.0008864040551740152,1.2201660421803175,0.5648800134658813
66,evaluation,0.0008864040551740152,0.9216701460035541,0.6862999796867371
67,train,0.0008830790341741476,1.2150097126546113,0.5703999996185303
67,evaluation,0.0008830790341741476,1.0025768023502977,0.6671000123023987
68,train,0.000879712552547619,1.2139528361732697,0.5726000070571899
68,evaluation,0.000879712552547619,1.014505476136751,0.6575999855995178
69,train,0.0008763049794670771,1.2131975008093792,0.5716400146484375
69,evaluation,0.0008763049794670771,0.9781040545505814,0.6650999784469604
70,train,0.0008728566886113098,1.2039131494739173,0.5728200078010559
70,evaluation,0.0008728566886113098,1.0074651829804047,0.6593999862670898
71,train,0.000869368058124268,1.201685068704893,0.5763000249862671
71,evaluation,0.000869368058124268,0.9691331590278239,0.6692000031471252
72,train,0.0008658394705735983,1.2065436045836915,0.5731599926948547
72,evaluation,0.0008658394705735983,0.9229081831400907,0.6811000108718872
73,train,0.0008622713129086888,1.2039047903417017,0.57396000623703
73,evaluation,0.0008622713129086888,0.9708507566512385,0.6636999845504761
74,train,0.0008586639764182372,1.1998417458265944,0.5770000219345093
74,evaluation,0.0008586639764182372,0.8897385446331169,0.6945000290870667
75,train,0.0008550178566873405,1.197878192605265,0.5788400173187256
75,evaluation,0.0008550178566873405,0.9281010914452469,0.6769999861717224
76,train,0.0008513333535541156,1.1993575590040984,0.5763199925422668
76,evaluation,0.0008513333535541156,0.9969417769697648,0.6651999950408936
77,train,0.0008476108710658509,1.200987962658143,0.5745000243186951
77,evaluation,0.0008476108710658509,0.9247307385070415,0.6797999739646912
78,train,0.0008438508174347005,1.1897977354276517,0.5785800218582153
78,evaluation,0.0008438508174347005,0.9396224534964259,0.6811000108718872
79,train,0.0008400536049929166,1.1895510089366943,0.5813000202178955
79,evaluation,0.0008400536049929166,0.9444247918038429,0.6769000291824341
80,train,0.0008362196501476343,1.18799768552146,0.5832200050354004
80,evaluation,0.0008362196501476343,0.9492844290371183,0.6783999800682068
